Timestamp,Raw Z,Normalized Z,Smoothed Z,Rep Detected,isIdle,Current Reps,Current Sets
2025-04-12T14:31:04.942793,-9.68,-0.02999999999999936,-0.03599999999999959,0,1,0,0
2025-04-12T14:31:04.947761,-9.7,-0.049999999999998934,-0.0399999999999995,0,1,0,0
2025-04-12T14:31:04.984919,-9.69,-0.03999999999999915,-0.04199999999999946,0,1,0,0
2025-04-12T14:31:05.021595,-9.68,-0.02999999999999936,-0.035999999999999234,0,1,0,0
2025-04-12T14:31:05.023747,-9.7,-0.049999999999998934,-0.03999999999999915,0,1,0,0
2025-04-12T14:31:05.031394,-9.72,-0.07000000000000028,-0.047999999999999335,0,1,0,0
2025-04-12T14:31:05.073623,-9.67,-0.019999999999999574,-0.04199999999999946,0,1,0,0
2025-04-12T14:31:05.075936,-9.67,-0.019999999999999574,-0.03799999999999955,0,1,0,0
2025-04-12T14:31:05.118760,-9.72,-0.07000000000000028,-0.04599999999999973,0,1,0,0
2025-04-12T14:31:05.120818,-9.75,-0.09999999999999964,-0.05599999999999987,0,1,0,0
2025-04-12T14:31:05.152184,-9.63,0.019999999999999574,-0.0379999999999999,0,0,0,0
2025-04-12T14:31:05.191698,-9.62,0.030000000000001137,-0.027999999999999758,0,0,0,0
2025-04-12T14:31:05.194630,-9.58,0.07000000000000028,-0.009999999999999787,0,0,0,0
2025-04-12T14:31:05.198468,-10.08,-0.4299999999999997,-0.08199999999999967,0,0,0,0
2025-04-12T14:31:05.250898,-11.02,-1.3699999999999992,-0.3359999999999996,0,0,0,0
2025-04-12T14:31:05.253152,-11.14,-1.4900000000000002,-0.6379999999999996,0,0,0,0
2025-04-12T14:31:05.255172,-12.93,-3.2799999999999994,-1.2999999999999996,0,0,0,0
2025-04-12T14:31:05.289616,-14.12,-4.469999999999999,-2.2079999999999993,0,0,0,0
2025-04-12T14:31:05.300747,-13.32,-3.67,-2.8559999999999994,0,0,0,0
2025-04-12T14:31:05.338860,-12.97,-3.3200000000000003,-3.2459999999999996,0,0,0,0
2025-04-12T14:31:05.368355,-12.45,-2.799999999999999,-3.508,0,0,0,0
2025-04-12T14:31:05.370619,-11.3,-1.6500000000000004,-3.1819999999999995,0,0,0,0
2025-04-12T14:31:05.402089,-10.76,-1.1099999999999994,-2.51,0,0,0,0
2025-04-12T14:31:05.404408,-11.33,-1.6799999999999997,-2.1119999999999997,0,0,0,0
2025-04-12T14:31:05.433915,-11.43,-1.7799999999999994,-1.8039999999999996,0,0,0,0
2025-04-12T14:31:05.436056,-11.46,-1.8100000000000005,-1.6059999999999999,0,0,0,0
2025-04-12T14:31:05.467254,-11.41,-1.7599999999999998,-1.6279999999999997,0,0,0,0
2025-04-12T14:31:05.500347,-11.27,-1.6199999999999992,-1.7299999999999998,0,0,0,0
2025-04-12T14:31:05.502585,-11.49,-1.8399999999999999,-1.7619999999999998,0,0,0,0
2025-04-12T14:31:05.583742,-11.49,-1.8399999999999999,-1.7739999999999998,0,0,0,0
2025-04-12T14:31:05.585978,-12.17,-2.5199999999999996,-1.9159999999999997,0,0,0,0
2025-04-12T14:31:05.629131,-11.96,-2.3100000000000005,-2.026,0,0,0,0
2025-04-12T14:31:05.631194,-11.67,-2.0199999999999996,-2.106,0,0,0,0
2025-04-12T14:31:05.677459,-11.61,-1.959999999999999,-2.13,0,0,0,0
2025-04-12T14:31:05.679748,-11.57,-1.92,-2.146,0,0,0,0
2025-04-12T14:31:05.688736,-11.47,-1.8200000000000003,-2.006,0,0,0,0
2025-04-12T14:31:05.730625,-11.31,-1.6600000000000001,-1.876,0,0,0,0
2025-04-12T14:31:05.776480,-10.9,-1.25,-1.722,0,0,0,0
2025-04-12T14:31:05.778921,-10.44,-0.7899999999999991,-1.488,0,0,0,0
2025-04-12T14:31:05.781246,-9.95,-0.29999999999999893,-1.1639999999999997,0,0,0,0
2025-04-12T14:31:05.787720,-9.44,0.21000000000000085,-0.7579999999999995,0,0,0,0
2025-04-12T14:31:05.823307,-9.02,0.6300000000000008,-0.29999999999999927,0,0,0,0
2025-04-12T14:31:05.825693,-8.8,0.8499999999999996,0.12000000000000063,0,0,0,0
2025-04-12T14:31:05.866312,-8.59,1.0600000000000005,0.49000000000000055,0,0,0,0
2025-04-12T14:31:05.868318,-8.23,1.42,0.8340000000000003,0,0,0,0
2025-04-12T14:31:05.901485,-7.89,1.7600000000000007,1.1440000000000003,0,0,0,0
2025-04-12T14:31:05.932791,-7.63,2.0200000000000005,1.4220000000000002,0,0,0,0
2025-04-12T14:31:05.965381,-7.22,2.4300000000000006,1.7380000000000002,0,0,0,0
2025-04-12T14:31:05.967436,-6.22,3.4300000000000006,2.2120000000000006,0,0,0,0
2025-04-12T14:31:06.007413,-5.63,4.0200000000000005,2.7320000000000007,0,0,0,0
2025-04-12T14:31:06.009046,-5.03,4.62,3.3040000000000007,0,0,0,0
2025-04-12T14:31:06.018715,-4.71,4.94,3.888000000000001,0,0,0,0
2025-04-12T14:31:06.048909,-4.74,4.91,4.384,0,0,0,0
2025-04-12T14:31:06.084445,-5.13,4.5200000000000005,4.602,0,0,0,0
2025-04-12T14:31:06.086727,-5.57,4.08,4.614,0,0,0,0
2025-04-12T14:31:06.120058,-6.71,2.9400000000000004,4.2780000000000005,0,0,0,0
2025-04-12T14:31:06.150406,-7.79,1.8600000000000003,3.662,0,0,0,0
2025-04-12T14:31:06.152636,-8.78,0.870000000000001,2.8540000000000005,0,0,0,0
2025-04-12T14:31:06.185462,-9.39,0.2599999999999998,2.0020000000000002,0,0,0,0
2025-04-12T14:31:06.236349,-9.54,0.11000000000000121,1.2080000000000006,0,0,0,0
2025-04-12T14:31:06.238329,-9.51,0.14000000000000057,0.6480000000000006,0,0,0,0
2025-04-12T14:31:06.240691,-9.54,0.11000000000000121,0.29800000000000076,0,0,0,0
2025-04-12T14:31:06.253376,-9.54,0.11000000000000121,0.1460000000000008,0,0,0,0
2025-04-12T14:31:06.303049,-9.69,-0.03999999999999915,0.086000000000001,0,0,0,0
2025-04-12T14:31:06.305908,-9.68,-0.02999999999999936,0.0580000000000009,0,0,0,0
2025-04-12T14:31:06.308200,-9.63,0.019999999999999574,0.034000000000000696,0,0,0,0
2025-04-12T14:31:06.356729,-9.61,0.040000000000000924,0.02000000000000064,0,0,0,0
2025-04-12T14:31:06.358710,-9.56,0.08999999999999986,0.016000000000000368,0,0,0,0
2025-04-12T14:31:06.372958,-9.44,0.21000000000000085,0.06600000000000036,0,0,0,0
2025-04-12T14:31:06.406042,-9.04,0.6100000000000012,0.19400000000000048,0,0,0,0
2025-04-12T14:31:06.424895,-8.93,0.7200000000000006,0.3340000000000007,0,0,0,0
2025-04-12T14:31:06.456135,-8.61,1.040000000000001,0.5340000000000007,0,0,0,0
2025-04-12T14:31:06.458109,-8.55,1.0999999999999996,0.7360000000000007,0,0,0,0
2025-04-12T14:31:06.497846,-8.63,1.0199999999999996,0.8980000000000004,0,0,0,0
